"videoname","contrast","nest_ID_contrast"
"20230619_113305_TR","queen-solitary","C-F"
"20230619_105703_TR","queen-queen","E-F"
"20230619_105703_BR","queen-queen","F-F"
"20230619_113305_BL","queen-solitary","-F"
"20230619_105703_TL","queen-queen","D-F"
"20230619_113305_TL","queen-queen","F-F"
"20230620_100614_TL","solitary-solitary","-B"
"20230620_102938_BL","solitary-solitary","B-B"
"20230620_102938_BR","solitary-solitary","A-AB"
"20230620_100614_BL","solitary-solitary","A-B"
"20230620_102938_TR","solitary-solitary","A-B"
"20230620_100614_BR","solitary-solitary","A-B"
"20230620_100614_TR","solitary-solitary","A-B"
"20230621_103344_TL","queen-queen","F-F"
"20230621_103344_BL","queen-queen","F-F"
"20230621_100453_BR","queen-queen","F-F"
"20230621_100453_TR","queen-queen","E-E"
"20230621_103344_TR","queen-queen","E-E"
"20230621_100453_BL","queen-worker","E-E"
"20230621_100453_TL","queen-worker","E-E"
"20230622_110242_TL","solitary-solitary","A-A"
"20230622_110242_TR","solitary-solitary","A-A"
"20230622_100409_TL","solitary-solitary","A-A"
"20230622_100409_TR","solitary-solitary","A-A"
"20230622_110242_BR","solitary-solitary","A-B"
"20230622_112700_TL","solitary-solitary","A-A"
"20230622_100409_BL","solitary-solitary","A-A"
"20230622_100409_BR","solitary-solitary","A-A"
"20230623_101414_BL","queen-solitary","B-E"
"20230623_101414_TL","queen-solitary","B-E"
"20230623_103946_TR","queen-solitary","B-E"
"20230623_103946_BR","queen-solitary","B-E"
"20230623_110124_BL","queen-queen","E-E"
"20230623_101414_TR","queen-solitary","B-E"
"20230623_103946_TL","queen-solitary","B-E"
"20230623_110124_TL","queen-queen","D-E"
"20230627_094040_TR","queen-worker","D-E"
"20230627_100844_TL","queen-worker","D-E"
"20230627_091930_TR","queen-queen","D-E"
"20230627_091930_TL","worker-worker","D-E"
"20230627_094040_TL","queen-worker","E-E"
"20230627_094040_BL","queen-worker","E-E"
"20230627_094040_BR","queen-worker","E-E"
"20230627_100844_TR","queen-worker","D-E"
"20230628_094632_TR","worker-worker","E-F"
"20230628_100719_TL","queen-worker","D-E"
"20230628_092349_BL","worker-worker","E-F"
"20230628_094632_BL","queen-worker","E-F"
"20230628_094632_BR","worker-worker","E-F"
"20230628_100719_BL","queen-worker","D-E"
"20230628_092349_BR","queen-worker","E-F"
"20230628_094632_TL","queen-worker","E-F"
"20230628_092349_TR","worker-worker","E-F"
"20230628_092349_TL","queen-queen","E-F"
"20230703_110806_TL","queen-worker","E-E"
"20230703_110806_TR","queen-worker","E-E"
"20230703_101841_TL","queen-worker","E-E"
"20230703_110806_BL","queen-worker","E-E"
"20230703_101841_TR","queen-worker","E-E"
"20230703_101841_BL","queen-worker","E-E"
"20230623_103946_BL","solitary-solitary","B-C"
"20230627_103010_TL","queen-solitary","CD-D"
"20230627_100844_BL","queen-solitary","CD-D"
"20230627_103010_TR","queen-solitary","-D"
"20230627_100844_BR","queen-solitary","C-D"
"20230627_103010_BL","queen-solitary","C-D"
"20230703_112856_BL","worker-worker","F-F"
"20230703_104609_TL","queen-worker","E-E"
"20230703_112856_TL","queen-worker","E-E"
"20230703_110806_BR","worker-worker","E-E"
"20230703_112856_TR","queen-worker","E-E"
"20230703_112856_BR","worker-worker","F-F"
"20230703_115028_TR","queen-worker","F-F"
"20230703_104609_TR","worker-worker","F-F"
"20230703_104609_BL","worker-worker","F-F"
"20230703_104609_BR","queen-worker","F-F"
